side,horizon_minutes,feature_group,head,fold,symbol,calibration_method,train_rows,calibration_rows,test_rows,raw_test_roc_auc,raw_test_pr_auc,raw_test_brier,calibrated_test_roc_auc,calibrated_test_pr_auc,calibrated_test_brier,threshold,test_alerts,test_coverage,test_precision,test_recall,test_positive_rate,precision_lift_vs_base,calibration_candidates
LONG,15,position_plus_topology,exit,1,ALL,isotonic,45862,9085,9205,0.5381289788190746,0.36592417514177217,0.2504204222726578,0.5344632456382544,0.36081622591649753,0.22999475754232587,0.4000000000000001,4818,0.5234111895708854,0.36695724366957244,0.5648562300319488,0.3400325909831613,1.0791825648493338,"[{""method"": ""raw"", ""brier"": 0.24355668843905695, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23146590103136283, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2294841383092142, ""selected"": true}]"
LONG,15,position_plus_topology,exit,1,BTCUSDT,isotonic,45862,3085,3065,0.5438568961263262,0.36892948221342886,0.23538871094693323,0.5424912410560079,0.35768752087062033,0.22002151839116968,0.4000000000000001,779,0.25415986949429037,0.39152759948652116,0.3160621761658031,0.31484502446982054,1.2435565724623703,"[{""method"": ""raw"", ""brier"": 0.24355668843905695, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23146590103136283, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2294841383092142, ""selected"": true}]"
LONG,15,position_plus_topology,exit,1,ETHUSDT,isotonic,45862,3010,3095,0.562958075987273,0.3770415637412272,0.24978763402725654,0.5561968931311996,0.36882725410207773,0.2277973530018623,0.37500000000000006,1966,0.6352180936995153,0.3662258392675483,0.6923076923076923,0.3360258481421648,1.089874012051021,"[{""method"": ""raw"", ""brier"": 0.24355668843905695, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23146590103136283, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2294841383092142, ""selected"": true}]"
LONG,15,position_plus_topology,exit,1,SOLUSDT,isotonic,45862,2990,3045,0.46219675925925924,0.3514725759155302,0.26619404290742404,0.46200509259259254,0.3514666044298255,0.2422669890861776,0.37500000000000006,2589,0.8502463054187193,0.3511008111239861,0.808,0.3694581280788177,0.9503128621089224,"[{""method"": ""raw"", ""brier"": 0.24355668843905695, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23146590103136283, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2294841383092142, ""selected"": true}]"
LONG,15,position_plus_topology,hold,1,ALL,isotonic,45862,9085,9205,0.5624214428728282,0.4083667996811061,0.24785516967220234,0.5600285216043401,0.3976837375296719,0.22814546251913043,0.4500000000000001,189,0.02053231939163498,0.4603174603174603,0.02676923076923077,0.35306898424769145,1.3037606837606837,"[{""method"": ""raw"", ""brier"": 0.24686252392244162, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22512571221385122, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22346127610170305, ""selected"": true}]"
LONG,15,position_plus_topology,hold,1,BTCUSDT,isotonic,45862,3085,3065,0.5688052756003484,0.37309795174921184,0.24228421406140024,0.5683934303844718,0.3681279899844374,0.21389198316951866,0.4000000000000001,616,0.20097879282218598,0.42694805194805197,0.2768421052631579,0.3099510603588907,1.377469241285031,"[{""method"": ""raw"", ""brier"": 0.24686252392244162, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22512571221385122, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22346127610170305, ""selected"": true}]"
LONG,15,position_plus_topology,hold,1,ETHUSDT,isotonic,45862,3010,3095,0.5569134486115618,0.4031817325485625,0.24755508948720076,0.5552463956237541,0.38995304532195596,0.2260014214566636,0.4250000000000001,830,0.2681744749596123,0.39879518072289155,0.3122641509433962,0.34248788368336025,1.164406683337122,"[{""method"": ""raw"", ""brier"": 0.24686252392244162, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22512571221385122, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22346127610170305, ""selected"": true}]"
LONG,15,position_plus_topology,hold,1,SOLUSDT,isotonic,45862,2990,3045,0.5263948708783844,0.4386365210970605,0.2537677237344973,0.523143820927531,0.4279389312700629,0.2446718077719695,0.4000000000000001,1156,0.37963875205254516,0.435121107266436,0.4056451612903226,0.4072249589490969,1.068503041634111,"[{""method"": ""raw"", ""brier"": 0.24686252392244162, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22512571221385122, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22346127610170305, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,1,ALL,isotonic,45862,9085,9205,0.5581415480087826,0.3797998854262554,0.24740038727613564,0.5577464599850116,0.37363078741815664,0.22834841876609963,0.37500000000000006,5422,0.5890277023356871,0.37901143489487277,0.6565495207667732,0.3400325909831613,1.1146326703537712,"[{""method"": ""raw"", ""brier"": 0.2428342022140457, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23156831526712177, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22946280212464265, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,1,BTCUSDT,isotonic,45862,3085,3065,0.5458031088082902,0.3677256097988241,0.23481551797479364,0.5489282013323465,0.3620009769154666,0.21899031891723156,0.37500000000000006,1043,0.3402936378466558,0.3576222435282838,0.38652849740932643,0.31484502446982054,1.1358675403255853,"[{""method"": ""raw"", ""brier"": 0.2428342022140457, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23156831526712177, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22946280212464265, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,1,ETHUSDT,isotonic,45862,3010,3095,0.5808791877222534,0.3920950133484435,0.2450786472192328,0.579423076923077,0.3840613147248166,0.22519507645444517,0.35000000000000003,1919,0.620032310177706,0.39291297550807713,0.725,0.3360258481421648,1.169293903074518,"[{""method"": ""raw"", ""brier"": 0.2428342022140457, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23156831526712177, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22946280212464265, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,1,SOLUSDT,isotonic,45862,2990,3045,0.5148259259259259,0.37301620712028205,0.26242777968491304,0.5114104166666668,0.3710049530005144,0.2409731052985631,0.4000000000000001,2185,0.7175697865353038,0.3748283752860412,0.728,0.3694581280788177,1.0145354691075514,"[{""method"": ""raw"", ""brier"": 0.2428342022140457, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23156831526712177, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22946280212464265, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,1,ALL,isotonic,45862,9085,9205,0.5696574565652651,0.41851945595389706,0.2476471243412016,0.5695245365885164,0.40678969165760803,0.22583028002707753,0.4250000000000001,765,0.08310700706137969,0.49411764705882355,0.1163076923076923,0.35306898424769145,1.3994932126696833,"[{""method"": ""raw"", ""brier"": 0.24735650835690012, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2254863022947331, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2238323557229271, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,1,BTCUSDT,isotonic,45862,3085,3065,0.5725663804902327,0.3844334222002094,0.24328237017350354,0.57130521338808,0.3743498823250925,0.21172548647710987,0.37500000000000006,839,0.27373572593800977,0.4135876042908224,0.36526315789473685,0.3099510603588907,1.3343642180540745,"[{""method"": ""raw"", ""brier"": 0.24735650835690012, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2254863022947331, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2238323557229271, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,1,ETHUSDT,isotonic,45862,3010,3095,0.5595401233137083,0.4069911601967653,0.24726829399161593,0.560413518149367,0.39165426317686547,0.22319426340374598,0.4250000000000001,248,0.0801292407108239,0.43951612903225806,0.10283018867924529,0.34248788368336025,1.283304169202678,"[{""method"": ""raw"", ""brier"": 0.24735650835690012, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2254863022947331, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2238323557229271, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,1,SOLUSDT,isotonic,45862,2990,3045,0.5432101688857117,0.44800336804853025,0.25242559772575407,0.543591948887499,0.4419733078182538,0.24270701686775473,0.4500000000000001,212,0.06962233169129721,0.5047169811320755,0.08629032258064516,0.4072249589490969,1.2394058125380403,"[{""method"": ""raw"", ""brier"": 0.24735650835690012, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2254863022947331, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2238323557229271, ""selected"": true}]"
LONG,15,position_plus_topology,exit,2,ALL,isotonic,55072,9100,9205,0.5637511955569486,0.38708403909755007,0.24934447320728895,0.5598183021349901,0.37104054470956216,0.21756693529292717,0.4250000000000001,435,0.047256925583921784,0.42298850574712643,0.061028192371475956,0.32753938077131994,1.291412668458474,"[{""method"": ""raw"", ""brier"": 0.24940618406255757, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22201342410037306, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2199398145079639, ""selected"": true}]"
LONG,15,position_plus_topology,exit,2,BTCUSDT,isotonic,55072,3030,3100,0.5478224815724816,0.32517719100046294,0.24278618124576923,0.542717547092547,0.3180089718170021,0.20268886183283683,0.35000000000000003,610,0.1967741935483871,0.35081967213114756,0.2431818181818182,0.2838709677419355,1.2358420268256334,"[{""method"": ""raw"", ""brier"": 0.24940618406255757, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22201342410037306, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2199398145079639, ""selected"": true}]"
LONG,15,position_plus_topology,exit,2,ETHUSDT,isotonic,55072,3055,3050,0.5794099378881987,0.4013213754860062,0.24772730572893834,0.5793433895297249,0.38728117998994327,0.21400235203309667,0.4250000000000001,212,0.06950819672131148,0.5188679245283019,0.11224489795918367,0.32131147540983607,1.6148440508278783,"[{""method"": ""raw"", ""brier"": 0.24940618406255757, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22201342410037306, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2199398145079639, ""selected"": true}]"
LONG,15,position_plus_topology,exit,2,SOLUSDT,isotonic,55072,3015,3055,0.5107609933925724,0.41853537130355867,0.25761388921045764,0.5041877420824789,0.38857876090155996,0.23622291128924902,0.4500000000000001,45,0.014729950900163666,0.5333333333333333,0.02077922077922078,0.3780687397708674,1.4106782106782108,"[{""method"": ""raw"", ""brier"": 0.24940618406255757, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22201342410037306, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2199398145079639, ""selected"": true}]"
LONG,15,position_plus_topology,hold,2,ALL,isotonic,55072,9100,9205,0.5692964842466504,0.4018130792830847,0.247535407106401,0.568138517865618,0.3908358604193107,0.2248314786958565,0.4250000000000001,1001,0.10874524714828897,0.42357642357642356,0.13312401883830455,0.34600760456273766,1.2241824109955977,"[{""method"": ""raw"", ""brier"": 0.24637352270161145, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22433022634622038, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22181751880988265, ""selected"": true}]"
LONG,15,position_plus_topology,hold,2,BTCUSDT,isotonic,55072,3030,3100,0.5815053122087604,0.34334317766690914,0.24166022669330642,0.5851456974215595,0.33947913341060243,0.20998166278732505,0.4250000000000001,231,0.07451612903225806,0.3246753246753247,0.08108108108108109,0.29838709677419356,1.088101088101088,"[{""method"": ""raw"", ""brier"": 0.24637352270161145, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22433022634622038, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22181751880988265, ""selected"": true}]"
LONG,15,position_plus_topology,hold,2,ETHUSDT,isotonic,55072,3055,3050,0.5670158474348643,0.4320846643467392,0.24508548990358106,0.5610323605320627,0.40946449577833155,0.22858910319780326,0.4250000000000001,252,0.08262295081967214,0.47619047619047616,0.1095890410958904,0.3590163934426229,1.3263752989780386,"[{""method"": ""raw"", ""brier"": 0.24637352270161145, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22433022634622038, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22181751880988265, ""selected"": true}]"
LONG,15,position_plus_topology,hold,2,SOLUSDT,isotonic,55072,3015,3055,0.5436051502145922,0.4309518408783525,0.25594303615687375,0.5417741898857779,0.416800158380153,0.2361485571199187,0.325,1601,0.5240589198036006,0.41099312929419113,0.5648068669527897,0.381342062193126,1.0777545150160979,"[{""method"": ""raw"", ""brier"": 0.24637352270161145, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22433022634622038, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22181751880988265, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,2,ALL,isotonic,55072,9100,9205,0.5601284369750601,0.3673002065870753,0.24438285827992112,0.5499932486195838,0.35518029864601597,0.21884615500832635,0.4250000000000001,593,0.06442151004888648,0.3608768971332209,0.07097844112769486,0.32753938077131994,1.101781704182852,"[{""method"": ""raw"", ""brier"": 0.24354480824071717, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2209627380958982, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2195079590240044, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,2,BTCUSDT,isotonic,55072,3030,3100,0.5468837018837018,0.3076590469418998,0.23101080150938683,0.5445920352170353,0.3026356814953986,0.20439485801864576,0.35000000000000003,412,0.1329032258064516,0.3106796116504854,0.14545454545454545,0.2838709677419355,1.0944395410414827,"[{""method"": ""raw"", ""brier"": 0.24354480824071717, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2209627380958982, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2195079590240044, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,2,ETHUSDT,isotonic,55072,3055,3050,0.5624751059844227,0.3684240896244647,0.24553912722375112,0.5489593808537907,0.3529332953779228,0.21681579464954912,0.4000000000000001,478,0.15672131147540982,0.38702928870292885,0.18877551020408162,0.32131147540983607,1.2045299291264622,"[{""method"": ""raw"", ""brier"": 0.24354480824071717, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2209627380958982, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2195079590240044, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,2,SOLUSDT,isotonic,55072,3015,3055,0.5368001822738665,0.4045734269277269,0.25679750826681963,0.5245197083618137,0.3943507598804222,0.23553735623984207,0.4500000000000001,89,0.029132569558101472,0.4157303370786517,0.032034632034632034,0.3780687397708674,1.0996157400651783,"[{""method"": ""raw"", ""brier"": 0.24354480824071717, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2209627380958982, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2195079590240044, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,2,ALL,isotonic,55072,9100,9205,0.5747880690737833,0.403860423255197,0.247302959108298,0.5665724664514413,0.39133616395027226,0.22417991486218214,0.37500000000000006,1656,0.17990222705051603,0.4359903381642512,0.22668759811616954,0.34600760456273766,1.2600599883208579,"[{""method"": ""raw"", ""brier"": 0.24649995369927738, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22446447388319565, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22262724636801182, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,2,BTCUSDT,isotonic,55072,3030,3100,0.5647855855855856,0.3347625368147159,0.24366847808141173,0.5586435538987263,0.3295417900666977,0.21157336910257468,0.4500000000000001,138,0.044516129032258066,0.2753623188405797,0.04108108108108108,0.29838709677419356,0.9228358793576185,"[{""method"": ""raw"", ""brier"": 0.24649995369927738, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22446447388319565, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22262724636801182, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,2,ETHUSDT,isotonic,55072,3055,3050,0.5765448621378272,0.4384266489415921,0.24441123505917686,0.5673243877658269,0.4173572356811956,0.2269061327867216,0.37500000000000006,411,0.13475409836065574,0.48418491484184917,0.1817351598173516,0.3590163934426229,1.3486429134864293,"[{""method"": ""raw"", ""brier"": 0.24649995369927738, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22446447388319565, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22262724636801182, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,2,SOLUSDT,isotonic,55072,3015,3055,0.561413811113382,0.4324309991127403,0.2538779671387947,0.5502606898744237,0.4170359183893511,0.23425039839244,0.35000000000000003,1287,0.42127659574468085,0.4257964257964258,0.4703862660944206,0.381342062193126,1.1165734599210995,"[{""method"": ""raw"", ""brier"": 0.24649995369927738, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22446447388319565, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22262724636801182, ""selected"": true}]"
LONG,15,position_plus_topology,exit,3,ALL,isotonic,64292,9070,9205,0.5793421908658504,0.33920540632423074,0.2369353084416676,0.5759625843947433,0.32899906893608705,0.20227634292033445,0.4250000000000001,194,0.021075502444323737,0.41237113402061853,0.030418250950570342,0.2857142857142857,1.443298969072165,"[{""method"": ""raw"", ""brier"": 0.24701069436770293, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.21744550094596854, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21497159677558592, ""selected"": true}]"
LONG,15,position_plus_topology,exit,3,BTCUSDT,isotonic,64292,3055,3035,0.6019693396226415,0.3365770041347649,0.2125320182735672,0.6128116576819408,0.32995514823990535,0.18740778681862347,0.35000000000000003,542,0.1785831960461285,0.3856088560885609,0.2628930817610063,0.26194398682042835,1.4721042493443801,"[{""method"": ""raw"", ""brier"": 0.24701069436770293, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.21744550094596854, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21497159677558592, ""selected"": true}]"
LONG,15,position_plus_topology,exit,3,ETHUSDT,isotonic,64292,3005,3070,0.5999493207941484,0.34263287279193005,0.23571056097810622,0.5839942528735632,0.3253056349524644,0.20133277850668188,0.4000000000000001,303,0.0986970684039088,0.297029702970297,0.10344827586206896,0.28338762214983715,1.0481392966882894,"[{""method"": ""raw"", ""brier"": 0.24701069436770293, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.21744550094596854, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21497159677558592, ""selected"": true}]"
LONG,15,position_plus_topology,exit,3,SOLUSDT,isotonic,64292,3010,3100,0.5183405127956219,0.3508368523376937,0.26203981178789926,0.5191933115724843,0.3371912582824233,0.21776757211988487,0.4000000000000001,409,0.13193548387096773,0.38875305623471884,0.16476683937823836,0.31129032258064515,1.2488440148472835,"[{""method"": ""raw"", ""brier"": 0.24701069436770293, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.21744550094596854, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21497159677558592, ""selected"": true}]"
LONG,15,position_plus_topology,hold,3,ALL,isotonic,64292,9070,9205,0.5918229774096428,0.3760450179735403,0.2378313276795544,0.5867205532239711,0.3474359016865,0.20443794249704705,0.35000000000000003,1485,0.16132536664856056,0.3824915824915825,0.20920810313075505,0.2949483976099946,1.296808477655623,"[{""method"": ""raw"", ""brier"": 0.2471404484552771, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22150751159353696, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21907138652443403, ""selected"": true}]"
LONG,15,position_plus_topology,hold,3,BTCUSDT,isotonic,64292,3055,3035,0.5873913425749537,0.2947541310436058,0.227549322945782,0.5881342868028487,0.2888874205763022,0.18490165224077063,0.35000000000000003,257,0.08467874794069193,0.2801556420233463,0.09664429530201342,0.24546952224052718,1.1413051993836993,"[{""method"": ""raw"", ""brier"": 0.2471404484552771, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22150751159353696, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21907138652443403, ""selected"": true}]"
LONG,15,position_plus_topology,hold,3,ETHUSDT,isotonic,64292,3005,3070,0.5989844067295977,0.42358548957489545,0.23504604402621065,0.5904072465016675,0.3715003242171798,0.21034826261728143,0.35000000000000003,493,0.16058631921824104,0.4239350912778905,0.21658031088082902,0.31433224755700323,1.3486846945317346,"[{""method"": ""raw"", ""brier"": 0.2471404484552771, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22150751159353696, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21907138652443403, ""selected"": true}]"
LONG,15,position_plus_topology,hold,3,SOLUSDT,isotonic,64292,3010,3100,0.5759930656977642,0.39207414366051907,0.2506560712868977,0.5653161400634061,0.3656260698914605,0.21771147738694363,0.35000000000000003,735,0.23709677419354838,0.3904761904761905,0.2855721393034826,0.3241935483870968,1.2044539208718312,"[{""method"": ""raw"", ""brier"": 0.2471404484552771, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22150751159353696, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21907138652443403, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,3,ALL,isotonic,64292,9070,9205,0.5874276048518845,0.35456098142338094,0.2381245328664662,0.5870406395928812,0.3449213340555098,0.19956185767233092,0.4000000000000001,630,0.06844106463878327,0.4126984126984127,0.09885931558935361,0.2857142857142857,1.4444444444444444,"[{""method"": ""raw"", ""brier"": 0.24865731595823706, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2177840220566575, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21635449841336923, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,3,BTCUSDT,isotonic,64292,3055,3035,0.6148568059299191,0.3424590445321895,0.21754964390413248,0.6110630053908356,0.3318532800658238,0.18600664831540603,0.325,316,0.10411861614497529,0.37658227848101267,0.14968553459119496,0.26194398682042835,1.4376442958363187,"[{""method"": ""raw"", ""brier"": 0.24865731595823706, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2177840220566575, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21635449841336923, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,3,ETHUSDT,isotonic,64292,3005,3070,0.5868547544409614,0.35771801587382074,0.23886704458847585,0.5885668756530826,0.3528596507135601,0.19928810397680208,0.37500000000000006,339,0.11042345276872964,0.37168141592920356,0.14482758620689656,0.28338762214983715,1.3115654562099481,"[{""method"": ""raw"", ""brier"": 0.24865731595823706, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2177840220566575, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21635449841336923, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,exit,3,SOLUSDT,isotonic,64292,3010,3100,0.5654963536421109,0.37405524497155723,0.2575326867419866,0.5648457123442259,0.35689211794553555,0.2131039493637956,0.37500000000000006,560,0.18064516129032257,0.3625,0.21036269430051813,0.31129032258064515,1.1645077720207253,"[{""method"": ""raw"", ""brier"": 0.24865731595823706, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2177840220566575, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.21635449841336923, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,3,ALL,isotonic,64292,9070,9205,0.5921401107242478,0.3697338999254842,0.23885652925901799,0.5902079130096735,0.34908231167485204,0.20493091798167826,0.37500000000000006,1367,0.14850624660510592,0.3584491587417703,0.18047882136279927,0.2949483976099946,1.2152944774283594,"[{""method"": ""raw"", ""brier"": 0.24783095168181643, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22211883602419952, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22034759944389254, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,3,BTCUSDT,isotonic,64292,3055,3035,0.5862676943817591,0.28267409528924714,0.22946737802405276,0.5863031564139386,0.2817561532334853,0.18547268318391008,0.4500000000000001,181,0.059637561779242176,0.23756906077348067,0.05771812080536913,0.24546952224052718,0.9678148985872669,"[{""method"": ""raw"", ""brier"": 0.24783095168181643, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22211883602419952, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22034759944389254, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,3,ETHUSDT,isotonic,64292,3005,3070,0.5967902723591745,0.41379305034890446,0.2357253848900202,0.5961062360774373,0.3780119807969528,0.2118912431389907,0.37500000000000006,427,0.13908794788273615,0.37236533957845436,0.16476683937823836,0.31433224755700323,1.1846234119231658,"[{""method"": ""raw"", ""brier"": 0.24783095168181643, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22211883602419952, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22034759944389254, ""selected"": true}]"
LONG,15,position_plus_topology_compact_matrix,hold,3,SOLUSDT,isotonic,64292,3010,3100,0.585000059369026,0.39801346687167305,0.2511496541657736,0.5781474489129531,0.37404358870068444,0.2170881903617678,0.4500000000000001,530,0.17096774193548386,0.3849056603773585,0.20298507462686566,0.3241935483870968,1.1872711912137426,"[{""method"": ""raw"", ""brier"": 0.24783095168181643, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22211883602419952, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22034759944389254, ""selected"": true}]"
LONG,30,position_plus_topology,exit,1,ALL,isotonic,91292,18075,18320,0.5523199617708943,0.40500199980817736,0.2501669388694563,0.5528937177837213,0.4024265731387145,0.23568738469404535,0.37500000000000006,12527,0.6837882096069869,0.39626406960964317,0.7316138540899042,0.3703602620087336,1.0699421894250056,"[{""method"": ""raw"", ""brier"": 0.24869473165992884, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23884804096455117, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2371657232146712, ""selected"": true}]"
LONG,30,position_plus_topology,exit,1,BTCUSDT,isotonic,91292,6025,6110,0.5780498753117207,0.39543361112439496,0.24851789424954496,0.5787012231326445,0.3871397709166751,0.2262874541371195,0.37500000000000006,3412,0.5584288052373159,0.39976553341148885,0.6495238095238095,0.3436988543371522,1.163127337687713,"[{""method"": ""raw"", ""brier"": 0.24869473165992884, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23884804096455117, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2371657232146712, ""selected"": true}]"
LONG,30,position_plus_topology,exit,1,ETHUSDT,isotonic,91292,6025,6105,0.5477519869164778,0.41197687972435026,0.24995259552813223,0.547750552319743,0.4066945465463472,0.23693264797007177,0.35000000000000003,5060,0.8288288288288288,0.38636363636363635,0.8593406593406593,0.3726453726453726,1.036813186813187,"[{""method"": ""raw"", ""brier"": 0.24869473165992884, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23884804096455117, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.2371657232146712, ""selected"": true}]"
